# time  ID  size  hopcount  deliveryTime  fromHost  toHost  remainingTtl  isResponse  path
21394.0000 M721 777866 2 185.0000 v4 b37 296 N v4->v15->b37
21497.0000 M707 866066 3 699.0000 v22 v24 288 N v22->v9->b42->v24
21669.0000 M661 540595 2 2260.0000 v26 v5 262 N v26->b32->v5
21704.0000 M701 623131 2 1094.0000 v20 b40 281 N v20->b36->b40
21744.0000 M715 989325 2 704.0000 b36 b38 288 N b36->b44->b38
22052.0000 M539 776159 3 6214.0000 v20 b39 196 N v20->b44->v8->b39
22053.0000 M741 689358 2 256.0000 b49 b30 295 N b49->v6->b30
22091.5000 M727 541731 2 704.5000 v1 b47 288 N v1->v28->b47
22545.0000 M710 880074 2 1656.0000 v7 v12 272 N v7->b46->v12
22593.0000 M767 997457 2 2.0000 s91 s80 299 N s91->s95->s80
22824.0000 M775 507255 3 2.0000 s76 s50 299 N s76->s86->s56->s50
22884.5000 M736 911222 3 1236.5000 v15 b48 279 N v15->v10->v29->b48
22966.5000 M745 530725 2 1047.5000 v25 v13 282 N v25->v23->v13
23302.0000 M774 558904 4 514.0000 b38 v15 291 N b38->b39->v19->v27->v15
23321.5000 M633 587193 3 4742.5000 b44 v17 220 N b44->v7->b31->v17
23380.0000 M731 769617 4 1872.0000 v13 v8 268 N v13->b45->b30->b44->v8
23442.5000 M607 531241 3 5640.5000 b39 v21 205 N b39->v6->v15->v21
23861.0000 M789 716421 2 615.0000 b38 v11 289 N b38->b47->v11
24060.5000 M695 833468 2 3623.5000 b43 b46 239 N b43->b36->b46
24177.0000 M773 694227 3 1416.0000 v25 b40 276 N v25->b45->b31->b40
24327.5000 M764 680454 4 1828.5000 v19 v10 269 N v19->b31->v29->b32->v10
24335.0000 M655 910468 4 5088.0000 b37 v23 215 N b37->v8->v21->b36->v23
24502.0000 M792 736532 2 1170.0000 b32 b45 280 N b32->v23->b45
24515.5000 M794 834275 2 1118.5000 v29 v4 281 N v29->b47->v4
24568.5000 M817 584284 2 475.5000 b39 b38 292 N b39->v24->b38
24777.5000 M820 872135 4 592.5000 v11 v15 290 N v11->b40->v24->b37->v15
24804.5000 M772 778765 3 2071.5000 v18 b36 265 N v18->v4->v20->b36
24999.5000 M779 850655 4 2062.5000 v4 b30 265 N v4->v28->v1->v20->b30
25149.5000 M838 703281 1 416.5000 b41 b45 293 N b41->b45
25168.0000 M833 575676 3 574.0000 b49 b38 290 N b49->b30->b35->b38
25298.0000 M677 975838 1 5388.0000 b37 v4 210 N b37->v4
25466.0000 M729 803707 3 4020.0000 v5 v1 233 N v5->b44->b38->v1
25611.0000 M855 706312 4 370.0000 v6 v4 293 N v6->v11->b32->v29->v4
25627.5000 M808 522636 1 1807.5000 b36 v5 269 N b36->v5
25817.5000 M871 889791 1 109.5000 b39 v4 298 N b39->v4
26064.0000 M787 933508 4 2876.0000 v8 b38 252 N v8->b40->b41->v26->b38
26100.5000 M883 547984 1 38.5000 v17 v24 299 N v17->v24
26147.5000 M882 890044 2 118.5000 b33 v25 298 N b33->b37->v25
26201.5000 M866 664563 3 638.5000 v9 v29 289 N v9->b36->b42->v29
26243.5000 M857 979337 2 948.5000 v1 v18 284 N v1->b39->v18
26256.0000 M743 991772 1 4402.0000 v10 b46 226 N v10->b46
27077.0000 M884 517001 2 981.0000 v24 b46 283 N v24->v17->b46
27175.5000 M856 637735 3 1909.5000 v17 v19 268 N v17->b42->v24->v19
27267.5000 M924 916942 1 0.5000 s88 s50 299 N s88->s50
27268.5000 M753 646311 4 5115.5000 v26 b45 214 N v26->v8->v18->b40->b45
27293.5000 M878 899203 1 1379.5000 b45 v22 277 N b45->v22
27440.0000 M846 750601 2 2481.0000 v24 v23 258 N v24->v21->v23
27636.5000 M868 663904 1 2020.5000 b30 b38 266 N b30->b38
27693.0000 M906 808754 3 955.0000 v18 b32 284 N v18->v8->b44->b32
27710.0000 M911 812313 2 828.0000 b33 v10 286 N b33->b31->v10
27731.0000 M927 611976 2 375.0000 b48 b45 293 N b48->b40->b45
27767.0000 M891 505874 2 1474.0000 b49 v13 275 N b49->v24->v13
27779.0000 M862 978313 3 2338.0000 v18 v5 261 N v18->v13->b32->v5
27932.5000 M921 717120 2 748.5000 v15 v18 287 N v15->b46->v18
28364.0000 M876 510704 3 2512.0000 v28 v8 258 N v28->b46->b30->v8
28459.0000 M865 850697 4 2924.0000 v3 v4 251 N v3->b30->b46->v28->v4
28663.0000 M917 574403 2 1596.0000 v17 v26 273 N v17->b34->v26
29044.5000 M950 859140 2 1014.5000 v12 b34 283 N v12->b49->b34
29259.5000 M936 827421 2 1633.5000 v19 v12 272 N v19->b41->v12
29352.0000 M888 928951 4 3143.0000 b38 v20 247 N b38->v12->b43->v16->v20
29515.5000 M977 720632 2 674.5000 v1 v0 288 N v1->b30->v0
29549.0000 M960 672410 2 1227.0000 v17 v3 279 N v17->b45->v3
29563.5000 M929 771359 2 2147.5000 b36 b30 264 N b36->b34->b30
29790.0000 M978 597971 4 915.0000 v3 b37 284 N v3->v6->b48->v5->b37
29840.5000 M920 982749 4 2688.5000 v2 v9 255 N v2->b35->b36->b34->v9
29884.5000 M850 768172 2 4792.5000 v20 v4 220 N v20->b48->v4
29957.0000 M931 561197 2 2486.0000 v14 b46 258 N v14->v25->b46
29958.0000 M949 557787 2 1954.0000 v20 v25 267 N v20->b46->v25
30015.5000 M943 799339 2 2185.5000 b43 v0 263 N b43->b48->v0
30073.0000 M933 936071 2 2536.0000 v22 b34 257 N v22->v16->b34
30237.0000 M941 664005 2 2466.0000 b42 b43 258 N b42->b35->b43
30305.0000 M923 622157 2 3065.0000 v2 b40 248 N v2->v23->b40
30504.0000 M1032 929432 2 1.0000 s52 s59 299 N s52->s96->s59
30504.0000 M976 601024 2 1691.0000 v15 v26 271 N v15->b32->v26
30570.0000 M1020 951185 3 436.0000 v6 b49 292 N v6->v7->v25->b49
30757.0000 M1007 788583 2 1025.0000 v13 b31 282 N v13->b45->b31
30758.0000 M1005 884511 4 1078.0000 v25 v10 282 N v25->b48->b36->v5->v10
30805.0000 M858 536001 3 5478.0000 v19 b42 208 N v19->b49->v24->b42
30831.5000 M1043 638798 1 0.5000 s66 s53 299 N s66->s53
31221.5000 M937 537880 4 3566.5000 b34 v12 240 N b34->v18->b37->b46->v12
31292.0000 M1040 804227 1 557.0000 b31 b36 290 N b31->b36
31339.0000 M784 550776 4 8245.0000 v19 v17 162 N v19->b40->v5->b35->v17
31546.5000 M1010 503262 3 1720.5000 v10 b49 271 N v10->v1->b33->b49
31973.5000 M1053 984491 1 834.5000 b34 b46 286 N b34->b46
32251.5000 M1079 526317 4 345.5000 v14 b40 294 N v14->b42->v25->v18->b40
32259.5000 M1091 848479 2 1.5000 s54 s72 299 N s54->s70->s72
32376.5000 M1095 683009 1 0.5000 s53 s75 299 N s53->s75
32406.5000 M1061 728007 2 1027.5000 b45 v17 282 N b45->b35->v17
32414.5000 M1067 930333 4 862.5000 v23 b48 285 N v23->b38->b34->b31->b48
32543.0000 M1066 956832 2 1024.0000 s99 s87 282 N s99->s91->s87
32546.5000 M1004 950862 4 2896.5000 s58 s64 251 N s58->s95->s91->s87->s64
32640.0000 M1088 913590 2 471.0000 b40 v27 292 N b40->b44->v27
32654.0000 M853 733232 2 7474.0000 s68 s52 175 N s68->s81->s52
32654.5000 M588 892632 2 15390.5000 s57 s52 43 N s57->s81->s52
32679.0000 M1097 800307 2 246.0000 v13 v8 295 N v13->b46->v8
32691.0000 M1009 756334 4 2896.0000 b31 v16 251 N b31->b48->v7->b47->v16
32750.0000 M864 542006 4 7247.0000 s53 s56 179 N s53->s68->s66->s81->s56
32794.0000 M1013 559477 2 2880.0000 b42 v17 252 N b42->b45->v17
32811.5000 M1029 708233 4 2399.5000 v21 b45 260 N v21->b37->b36->b31->b45
32812.0000 M561 822886 3 16337.0000 s55 s82 27 N s55->s87->s91->s82
32870.0000 M1103 670129 4 254.0000 b30 b49 295 N b30->v24->v11->b39->b49
32904.5000 M939 867708 2 5190.5000 v7 v13 213 N v7->v22->v13
33025.5000 M1117 600990 1 0.5000 s68 s75 299 N s68->s75
33114.0000 M907 727114 3 6350.0000 s73 s89 194 N s73->s60->s91->s89
33114.5000 M606 826813 2 15338.5000 s82 s89 44 N s82->s91->s89
33132.5000 M902 538759 3 6503.5000 s58 s77 191 N s58->s99->s91->s77
33141.5000 M839 658709 3 8382.5000 s73 s71 160 N s73->s60->s91->s71
33142.0000 M814 599985 3 9141.0000 s84 s71 147 N s84->s64->s91->s71
33457.5000 M1123 643460 2 261.5000 v24 v4 295 N v24->b40->v4
33695.5000 M1121 814280 3 556.5000 v29 b45 290 N v29->b30->v1->b45
33824.5000 M1105 874910 3 1152.5000 v13 v11 280 N v13->v22->b39->v11
34010.0000 M1141 559391 2 287.0000 v1 v25 295 N v1->b44->v25
34013.0000 M1096 576204 2 1610.0000 v7 v22 273 N v7->b45->v22
34097.5000 M1049 869177 3 3084.5000 s67 s75 248 N s67->s62->s53->s75
34190.0000 M992 768102 2 4888.0000 v7 v21 218 N v7->b36->v21
34205.5000 M590 565577 3 16882.5000 s66 s97 18 N s66->s81->s68->s97
34220.0000 M1142 692771 2 465.0000 b46 v13 292 N b46->b41->v13
34337.0000 M694 596357 2 13930.0000 s53 s94 67 N s53->s68->s94
34355.5000 M1113 885753 1 1442.5000 b41 v10 275 N b41->v10
34434.5000 M1062 962313 1 3026.5000 b33 v7 249 N b33->v7
34569.5000 M1131 623858 4 1143.5000 v11 b36 280 N v11->v1->b42->v27->b36
34608.5000 M1030 849288 1 4162.5000 b45 v21 230 N b45->v21
34763.5000 M611 678117 1 16829.5000 s78 s72 19 N s78->s72
34820.0000 M1052 888167 4 3715.0000 b49 v28 238 N b49->b46->v12->b35->v28
34837.0000 M1025 755230 3 4549.0000 v5 v19 224 N v5->v28->b37->v19
34840.0000 M1110 670791 3 2014.0000 v13 v4 266 N v13->v22->b39->v4
34855.5000 M1170 848047 2 277.5000 b37 v5 295 N b37->b45->v5
34880.0000 M683 501577 4 14798.0000 s96 s53 53 N s96->s52->s50->s69->s53
34918.0000 M985 588497 2 5832.0000 s62 s59 202 N s62->s53->s59
34918.5000 M720 981195 3 13738.5000 s75 s59 71 N s75->s90->s53->s59
34999.0000 M1045 991525 3 4109.0000 v25 v12 231 N v25->b31->v8->v12
35179.5000 M1144 671277 4 1366.5000 v0 b38 277 N v0->b46->b41->b39->b38
35192.5000 M1073 987495 4 3464.5000 s56 s75 242 N s56->s88->s50->s69->s75
35224.5000 M1172 815327 3 584.5000 b40 v21 290 N b40->v22->b30->v21
35246.0000 M1182 798202 4 326.0000 v27 b35 294 N v27->b47->v8->b31->b35
35359.0000 M1019 598150 4 5258.0000 v24 v15 212 N v24->b40->b30->b35->v15
35409.0000 M1057 995738 3 4154.0000 b33 v17 230 N b33->b38->b49->v17
35436.5000 M1176 944661 2 680.5000 v21 b42 288 N v21->b30->b42
