# time  ID  size  hopcount  deliveryTime  fromHost  toHost  remainingTtl  isResponse  path
11869.5000 M338 697599 5 1911.5000 v29 v26 268 N v29->b30->v7->b47->b37->v26
11919.5000 M377 672041 1 824.5000 b47 v22 286 N b47->v22
11935.5000 M89 502436 2 9286.5000 s58 s85 145 N s58->s78->s85
11973.5000 M393 575325 2 400.5000 v10 b33 293 N v10->b34->b33
12024.5000 M409 541506 1 0.5000 s69 s88 299 N s69->s88
12236.5000 M406 604457 2 298.5000 v14 v5 295 N v14->b39->v5
12282.5000 M72 566893 2 10140.5000 s85 s91 130 N s85->s95->s91
12400.5000 M365 845236 2 1656.5000 b45 v25 272 N b45->v22->v25
12483.0000 M385 516767 3 1150.0000 b43 b31 280 N b43->b34->b46->b31
12745.0000 M429 827866 1 133.0000 v22 b33 297 N v22->b33
12871.5000 M438 951493 1 0.5000 s51 s79 299 N s51->s79
12920.0000 M386 841814 2 1554.0000 v21 v5 274 N v21->v20->v5
13034.5000 M442 892501 2 42.5000 v3 v24 299 N v3->b43->v24
13056.5000 M426 712642 3 532.5000 v2 v12 291 N v2->b36->b49->v12
13097.5000 M395 815148 2 1470.5000 v14 b45 275 N v14->b39->b45
13238.0000 M415 946743 3 1042.0000 v23 b40 282 N v23->b46->b45->b40
13368.0000 M455 788838 3 2.0000 s76 s50 299 N s76->s96->s52->s50
13468.0000 M392 906139 3 1928.0000 v27 v25 267 N v27->b43->b42->v25
13545.5000 M421 929738 2 1183.5000 b37 v17 280 N b37->b42->v17
13582.0000 M452 898514 3 292.0000 b47 b44 295 N b47->v28->v20->b44
13757.5000 M468 947891 1 0.5000 s50 s69 299 N s50->s69
13958.5000 M475 546265 1 0.5000 s95 s91 299 N s95->s91
14095.0000 M423 936332 3 1667.0000 v23 v21 272 N v23->b43->b42->v21
14167.0000 M432 749271 2 1463.0000 v26 b32 275 N v26->b44->b32
14190.5000 M374 786262 1 3184.5000 s67 s73 246 N s67->s73
14295.0000 M366 533454 3 3525.0000 b41 v9 241 N b41->b43->v25->v9
14302.0000 M389 930855 1 2852.0000 b44 v1 252 N b44->v1
14327.5000 M394 809108 3 2727.5000 b42 v14 254 N b42->b41->b43->v14
14360.5000 M489 868109 1 0.5000 s70 s72 299 N s70->s72
14440.0000 M422 753746 2 2046.0000 v29 b38 265 N v29->b40->b38
14629.5000 M405 683524 3 2718.5000 v6 v3 254 N v6->v14->b32->v3
14762.5000 M461 806829 4 1226.5000 v6 v19 279 N v6->b41->v0->b31->v19
14826.0000 M471 961219 3 981.0000 v6 b40 283 N v6->b47->b44->b40
14882.0000 M445 575335 2 1804.0000 b43 v3 269 N b43->b31->v3
14918.5000 M473 500111 3 1016.5000 b35 v14 283 N b35->v5->b38->v14
14930.0000 M487 951592 2 628.0000 v15 b47 289 N v15->b42->b47
