# time  ID  size  hopcount  deliveryTime  fromHost  toHost  remainingTtl  isResponse  path
19499.5000 M432 749271 28 6795.5000 v26 b32 186 N v26->v0->v5->v25->v20->b36->b46->b31->v29->v21->v19->b40->v11->v16->v13->b43->v14->b48->v22->b39->v15->v10->v6->b47->b38->b33->b49->v9->b32
19522.5000 M541 760866 22 3630.5000 v21 v9 239 N v21->v20->b34->v8->b30->b40->b36->v15->b31->b46->v11->b45->v1->b47->v2->b38->v23->v26->v25->b32->v22->b49->v9
19572.0000 M297 669428 27 10790.0000 v12 b41 120 N v12->b34->v4->b30->b46->v0->b35->v1->b38->b39->v26->v22->v7->b33->v29->b43->v27->v15->v8->b45->v2->b32->b31->b48->v11->b42->v28->b41
19633.5000 M413 802148 29 7497.5000 b47 v24 175 N b47->v12->b49->b36->v0->b31->b33->b38->v17->b42->v2->b43->v20->v14->b44->b40->v8->v15->b45->v21->v23->b37->v1->b34->v28->v9->v25->b32->v18->v24
19639.5000 M240 508487 34 12528.5000 v13 v29 91 N v13->v20->v9->v22->b37->v24->b47->b46->v18->b43->v10->b44->b31->v12->v28->b48->v2->b36->b49->b33->b38->v17->b42->v25->b32->v23->b40->v21->b34->v11->v14->b45->v15->b35->v29
19980.5000 M211 725483 33 13737.5000 v28 v6 71 N v28->b49->v1->v18->b40->b33->b34->b42->b35->v10->b43->b32->v24->b48->v11->v2->v20->v25->b39->b38->b41->v16->b30->b36->v21->v27->v4->b31->b45->b37->b47->v29->v17->v6
20052.5000 M604 933299 13 2330.5000 v1 b49 261 N v1->b48->v11->b33->v13->b44->v23->b45->v28->b38->b41->b46->v20->b49
20174.5000 M686 741093 1 0.5000 s95 s99 299 N s95->s99
20182.0000 M542 748858 23 4259.0000 b44 v15 229 N b44->b31->b47->v12->b40->v27->b35->v17->b30->b42->b34->v25->b36->b43->b49->b32->v8->b45->v26->b37->v28->v20->b41->v15
20188.0000 M674 512954 1 374.0000 v4 v26 293 N v4->v26
20378.5000 M693 730547 5 2.5000 s69 s59 299 N s69->s88->s50->s52->s96->s59
20463.5000 M696 683705 2 1.5000 s86 s51 299 N s86->s56->s51
20711.0000 M552 922716 15 4492.0000 v1 b36 225 N v1->v16->b41->v2->b48->v0->v4->b39->v12->b40->b30->v29->v24->b47->v15->b36
20725.5000 M491 918905 19 6311.5000 v26 v8 194 N v26->b31->v19->v14->b43->b34->b37->b42->v18->b33->b32->v25->v12->b30->v10->v21->v0->b35->b46->v8
20805.0000 M164 525429 38 15958.0000 b37 v25 34 N b37->b43->v18->b34->v17->v27->b49->b38->v22->v14->b30->v2->b47->v3->b46->v19->b39->v4->v6->v13->b33->b42->v15->v11->v8->b48->v28->b40->b44->b35->b32->v10->b45->v7->v29->v26->v24->b41->v25
20915.5000 M267 573962 33 13008.5000 v7 v15 83 N v7->b48->b31->b36->b38->b40->v1->v14->b30->b45->v25->b39->v16->v0->b46->v26->v22->b42->v17->b34->b44->b47->v6->b49->v19->b43->b37->v5->v12->v3->b32->b35->v4->v15
21029.0000 M482 625636 31 6868.0000 v4 v2 185 N v4->b32->b35->b42->b30->b38->b44->v8->b36->v23->v18->v12->v9->v28->b40->v7->v3->b45->v5->b48->v25->v20->v22->b49->v1->v14->v15->b41->v24->v29->b47->v2
21268.5000 M723 911350 1 0.5000 s53 s90 299 N s53->s90
21394.0000 M721 777866 2 185.0000 v4 b37 296 N v4->v15->b37
21411.5000 M188 875548 37 15849.5000 v19 b32 35 N v19->v22->v27->b49->v2->b30->b35->b44->v13->v1->v18->b40->b33->b34->b42->v8->b37->v23->b48->b39->b38->b41->v16->v25->v17->b45->b43->v12->v6->v14->v9->v21->b31->v28->b36->v15->v10->b32
21412.0000 M532 931523 23 5781.0000 v10 b43 203 N v10->v24->v7->b40->v12->v18->v9->v23->b46->b49->v25->b44->v19->b36->v0->b34->b42->v11->b45->b31->b39->b41->v22->b43
21435.0000 M423 936332 29 9007.0000 v23 v21 149 N v23->b45->v2->v14->v9->v17->v25->b42->v15->b49->b47->b40->v8->b44->b41->v5->b48->b39->v22->v13->v24->b38->b35->b36->v3->b33->v18->b30->v29->v21
21436.0000 M607 531241 15 3634.0000 b39 v21 239 N b39->v6->v15->b45->v3->b49->b43->b42->v28->b46->v11->v7->b37->v5->v29->v21
21948.5000 M415 946743 30 9752.5000 v23 b40 137 N v23->b48->b45->v2->v14->v9->v17->v25->b42->v15->b33->v1->b36->b37->v11->b30->v4->b43->v20->v27->v29->v24->v18->b35->b49->v28->b41->v19->b44->b47->b40
22051.0000 M566 716746 24 5425.0000 b40 b41 209 N b40->b34->b38->v23->b36->b35->v26->b31->b45->v15->v24->v29->b32->v2->v18->b49->b33->v19->b37->b30->v20->b46->v7->b43->b41
22303.0000 M664 943259 19 2802.0000 v15 b47 253 N v15->b35->v25->v22->v29->v24->v14->b49->v20->v28->b42->v5->v21->v8->b46->v7->b43->b41->b34->b47
22560.5000 M525 972953 25 7136.5000 b46 v8 181 N b46->v16->v1->b47->b33->b43->v20->v2->b36->v19->b31->b45->v11->b44->b41->b39->v9->v25->v27->b30->v18->b35->b37->b49->v26->v8
22593.0000 M767 997457 3 2.0000 s91 s80 299 N s91->s99->s95->s80
22821.5000 M741 689358 4 1024.5000 b49 b30 282 N b49->v6->b44->b40->b30
22824.0000 M775 507255 3 2.0000 s76 s50 299 N s76->s86->s56->s50
22965.0000 M459 851360 27 9484.0000 v29 v25 141 N v29->v21->v19->b40->v11->v16->b46->v13->b43->v14->b48->v22->v5->b39->v15->v10->v6->b47->b38->b33->b49->v9->b32->v2->b35->v17->v23->v25
22966.0000 M619 676448 14 4801.0000 v4 v25 219 N v4->b39->v12->b48->b46->v3->b38->v16->b35->b31->v7->b34->v13->v23->v25
23182.5000 M558 731368 23 6791.5000 v7 b33 186 N v7->b40->v12->v18->v9->v23->b46->b49->v25->b44->v19->b36->v0->b34->b42->v11->b45->b31->b39->b41->v22->b43->v20->b33
23445.5000 M596 891781 26 5944.5000 v17 v26 200 N v17->b35->b38->v3->b47->b30->v6->v16->b39->b32->b34->b36->b43->b44->v9->b33->b42->v22->b48->b49->b37->v27->v19->b40->v5->b41->v26
24163.0000 M773 694227 11 1402.0000 v25 b40 276 N v25->v23->v13->v16->b45->b31->b37->b33->b39->v19->b44->b40
24325.5000 M743 991772 17 2471.5000 v10 b46 258 N v10->v24->b37->v18->v8->v26->b40->v14->v25->v23->v13->v16->b45->b31->b39->v19->b44->b46
24330.5000 M695 833468 17 3893.5000 b43 b46 235 N b43->b36->b45->v22->b34->b41->v25->b39->v9->v6->b38->b30->b44->v16->v14->v2->v23->b46
24334.5000 M613 503655 23 6349.5000 b43 b46 194 N b43->b33->b42->b40->b45->b38->b37->v8->b31->v7->b44->b41->v23->b47->v19->v28->v1->v0->v16->v13->v25->v14->v2->b46
24757.5000 M309 556109 35 15631.5000 b34 v25 39 N b34->v4->b30->b46->v0->b35->v1->b39->b38->v26->v22->v7->b33->v29->b43->v27->v15->v8->b45->v2->b32->b31->b48->v11->b42->v28->b41->v10->v5->b40->b36->b44->v19->b37->b47->v25
24804.5000 M772 778765 3 2071.5000 v18 b36 265 N v18->v4->v20->b36
24833.5000 M753 646311 24 2680.5000 v26 b45 255 N v26->v8->b40->v18->v19->b31->v29->b32->b36->v21->v12->b46->v11->b34->b48->b39->b33->b43->b44->v2->v23->v25->b42->b35->b45
25149.5000 M838 703281 1 416.5000 b41 b45 293 N b41->b45
25357.5000 M587 931023 20 8125.5000 b48 b49 164 N b48->v0->v4->b39->v12->b40->b30->v29->v24->b41->v2->b47->v1->v15->b36->v20->v21->v10->b35->b31->b49
